player_id,season_id,Goals_per_90,Expected_goals_xG_per_90,xG_on_target_xGOT_per_90,Penalty_goals_per_90,Non_penalty_xG_per_90,Shots_per_90,Shots_on_target_per_90,Assists_per_90,Expected_assists_xA_per_90,Pass_accuracy_per_90,Dribble_success_per_90,Touches_per_90,Touches_in_opposition_box_per_90,Aerial_duels_won_per_90,Aerial_duels_won_percentage_per_90
6a924d43-8b23-11ef-bdd6-00ff248ba4a4,4,0.25,0.19,0.19,0,0.19,1.42,0.6,0.25,0.16,74.0%,53.8%,52.93,3.75,0.82,38.8%
6a924f23-8b23-11ef-bdd6-00ff248ba4a4,4,0.21,0.11,0.17,0,0.11,1.27,0.5,0.05,0.06,83.7%,66.7%,72.05,1.61,0.87,45.2%
6a9250a9-8b23-11ef-bdd6-00ff248ba4a4,1,0.48,0.35,0.48,0,0.35,2.5,1.1,0.18,0.14,75.10%,38.20%,36.54,5.54,0.98,32.00%
6a9250a9-8b23-11ef-bdd6-00ff248ba4a4,3,0.36,0.36,0.34,0,0.36,2.38,1.02,0.3,0.13,76.2%,56.8%,41.37,4.91,1.14,36.9%
6a9250a9-8b23-11ef-bdd6-00ff248ba4a4,4,0.28,0.25,0.2,0,0.25,1.92,0.56,0.17,0.14,74.4%,53.7%,41.05,3.81,0.8,31.1%
6a925219-8b23-11ef-bdd6-00ff248ba4a4,3,0.66,0.65,0.52,0.11,0.56,4.03,1.57,0.11,0.07,81.9%,62.5%,45.29,6.66,1.54,38.2%
6a925385-8b23-11ef-bdd6-00ff248ba4a4,2,0.26,0.21,0.2,0,0.21,2.41,0.78,0.59,0.52,80.8%,62.7%,72.67,3.86,0.48,50.0%
6a925385-8b23-11ef-bdd6-00ff248ba4a4,3,0.61,0.24,0.31,0,0.24,3.18,1.27,0.33,0.31,82.5%,56.4%,77.84,4.37,0.49,40.0%
6a925565-8b23-11ef-bdd6-00ff248ba4a4,2,0.61,0.57,0.6,0.18,0.4,2.86,1.28,0.12,0.11,62.0%,35.6%,40.99,5.09,3.32,48.0%
6a925565-8b23-11ef-bdd6-00ff248ba4a4,3,0.37,0.37,0.36,0.15,0.24,2.72,0.93,0.15,0.17,58.9%,48.0%,41.75,5.17,4.55,55.9%
6a9256d3-8b23-11ef-bdd6-00ff248ba4a4,3,0.42,0.31,0.34,0.04,0.28,2.89,1.1,0.38,0.26,85.4%,42.9%,62.97,5.52,0.23,16.2%
6a925869-8b23-11ef-bdd6-00ff248ba4a4,1,0.49,0.48,0.47,0.18,0.33,3.31,1.14,0.28,0.34,83.00%,47.60%,65.36,8.81,0.74,39.30%
6a925869-8b23-11ef-bdd6-00ff248ba4a4,2,0.39,0.32,0.29,0.06,0.26,2.51,0.9,0.31,0.16,80.9%,47.7%,58.3,7.22,0.45,29.6%
6a925869-8b23-11ef-bdd6-00ff248ba4a4,3,0.33,0.33,0.28,0.06,0.28,2.92,0.93,0.21,0.21,79.5%,42.2%,53.59,6.65,0.69,34.8%
6a925a59-8b23-11ef-bdd6-00ff248ba4a4,3,0.34,0.31,0.29,0.12,0.22,2.71,0.77,0.09,0.19,69.3%,42.5%,60,4.28,0.71,42.6%
6a925bc2-8b23-11ef-bdd6-00ff248ba4a4,3,0.3,0.32,0.28,0.08,0.26,1.96,0.75,0.08,0.08,75.2%,45.0%,25.15,4.5,0.41,16.9%
6a925d2f-8b23-11ef-bdd6-00ff248ba4a4,1,0.66,0.58,0.51,0,0.58,3.74,1.51,0.24,0.09,70.90%,30.30%,44.28,7.54,1.57,31.00%
6a925d2f-8b23-11ef-bdd6-00ff248ba4a4,3,0.36,0.33,0.3,0.11,0.25,2.57,0.82,0.18,0.07,63.4%,48.8%,41.08,4.99,2.35,29.6%
6a925eaa-8b23-11ef-bdd6-00ff248ba4a4,3,0.47,0.28,0.27,0,0.28,1.88,1.08,0.09,0.11,87.4%,60.4%,51.23,3.09,0.33,28.0%
6a926015-8b23-11ef-bdd6-00ff248ba4a4,3,0.35,0.26,0.26,0,0.26,2.09,0.9,0.21,0.07,68.3%,43.6%,43.97,5.08,1.56,36.0%
6a926178-8b23-11ef-bdd6-00ff248ba4a4,3,0.46,0.35,0.31,0,0.31,2.38,1.11,0.05,0.09,70.6%,34.2%,36.74,4.56,1.22,34.8%
6a9262df-8b23-11ef-bdd6-00ff248ba4a4,3,0.25,0.22,0.22,0,0.22,1.48,0.63,0.13,0.13,89.6%,57.6%,75.61,6.08,0.22,31.8%
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,1,0.66,0.43,0.58,0,0.43,3.28,1.2,0.05,0.17,78.70%,61.00%,54.35,7.33,0.33,37.50%
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,2,0.32,0.25,0.28,0,0.25,2.2,0.92,0.48,0.24,78.9%,53.7%,54.34,6.03,0.28,31.8%
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,3,0.26,0.22,0.3,0.03,0.2,2.37,0.86,0.1,0.16,77.9%,70.0%,54.35,5.44,0.29,31.0%
6a9265fd-8b23-11ef-bdd6-00ff248ba4a4,3,0.25,0.2,0.25,0,0.2,1.64,0.69,0.09,0.1,81.2%,56.6%,55.34,2.71,0.73,37.1%
6a926771-8b23-11ef-bdd6-00ff248ba4a4,3,0.45,0.38,0.3,0.06,0.34,2.44,0.85,0,0.09,72.9%,52.0%,30.26,5.79,2.9,51.5%
6a9268dc-8b23-11ef-bdd6-00ff248ba4a4,3,0.33,0.2,0.21,0,0.2,2.6,0.91,0.25,0.13,81.1%,46.3%,49.66,3.71,0.41,34.5%
6a926a45-8b23-11ef-bdd6-00ff248ba4a4,1,0.44,0.42,0.38,0.03,0.39,2.35,0.95,0.24,0.15,81.10%,45.70%,46.76,6.51,3.58,50.00%
6a926a45-8b23-11ef-bdd6-00ff248ba4a4,3,0.4,0.43,0.4,0,0.43,2.78,1.14,0.15,0.08,81.3%,42.9%,50.77,6.66,1.84,41.6%
6a926ba5-8b23-11ef-bdd6-00ff248ba4a4,3,0.32,0.35,0.25,0.04,0.28,2.41,0.59,0.08,0.08,77.8%,51.2%,37.19,4.75,0.83,26.9%
6a926d12-8b23-11ef-bdd6-00ff248ba4a4,1,0.25,0.12,0.14,0,0.12,1.9,0.67,0.28,0.19,92.50%,75.00%,126.09,2.6,1.68,70.50%
6a926d12-8b23-11ef-bdd6-00ff248ba4a4,3,0.22,0.08,0.16,0,0.08,1.4,0.44,0.06,0.08,91.8%,54.5%,101.19,1.84,2.65,72.0%
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,1,0.23,0.22,0.2,0.06,0.17,2.24,0.67,0.29,0.32,86.80%,49.30%,71.55,5.46,0.09,25.00%
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,2,0.43,0.29,0.27,0,0.29,2.66,0.94,0.2,0.23,84.0%,62.3%,63.83,3.78,0.4,41.2%
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,3,0.23,0.15,0.14,0,0.15,1.71,0.68,0.13,0.17,86.0%,54.3%,63.53,2.1,0.48,39.5%
6a926ff9-8b23-11ef-bdd6-00ff248ba4a4,1,0.95,1.03,0.95,0.25,0.81,4.26,2.08,0.18,0.08,77.40%,42.90%,24.54,6.87,1.37,47.60%
6a926ff9-8b23-11ef-bdd6-00ff248ba4a4,2,1.17,0.93,0.94,0.23,0.75,3.99,1.95,0.26,0.1,74.8%,37.9%,26.91,7.36,1.62,50.0%
6a927162-8b23-11ef-bdd6-00ff248ba4a4,2,0.48,0.29,0.34,0,0.29,2.53,1.03,0.16,0.22,82.4%,52.2%,52.56,7.76,0.48,19.0%
6a9272cf-8b23-11ef-bdd6-00ff248ba4a4,2,0.63,0.67,0.71,0.18,0.39,4.16,1.57,0.04,0.06,60.5%,51.1%,41.8,6.89,4.48,48.3%
6a927431-8b23-11ef-bdd6-00ff248ba4a4,2,0.3,0.14,0.18,0,0.14,0.9,0.54,0.12,0.04,85.2%,65.6%,67.5,1.2,0.9,48.4%
6a92759b-8b23-11ef-bdd6-00ff248ba4a4,2,0.39,0.29,0.34,0,0.29,2.48,0.75,0.07,0.11,84.5%,50.7%,50.08,5.24,0.22,37.5%
6a927701-8b23-11ef-bdd6-00ff248ba4a4,2,0.31,0.38,0.38,0.19,0.23,2.68,1.06,0.06,0.14,87.2%,66.7%,72.38,2.06,0.78,61.0%
6a928752-8b23-11ef-bdd6-00ff248ba4a4,1,0.48,0.4,0.46,0.04,0.37,3.62,1.48,0.17,0.24,83.70%,51.90%,62.85,4.92,0.52,33.30%
6a928752-8b23-11ef-bdd6-00ff248ba4a4,2,0.34,0.25,0.35,0.03,0.22,2.42,0.89,0.14,0.11,82.4%,63.4%,57.88,3.27,0.65,37.3%
6a928971-8b23-11ef-bdd6-00ff248ba4a4,1,0.83,0.81,0.91,0.2,0.62,3.1,1.71,0.08,0.11,80.00%,60.00%,31.91,6.12,0.4,20.00%
6a928971-8b23-11ef-bdd6-00ff248ba4a4,2,0.59,0.49,0.57,0.12,0.4,3.01,1.48,0.06,0.08,77.8%,51.6%,38.39,6.26,1.36,45.1%
6a928b5d-8b23-11ef-bdd6-00ff248ba4a4,2,0.64,0.42,0.24,0,0.42,2.23,0.96,0.06,0.02,64.8%,45.0%,31.32,3.64,1.28,24.7%
6a928c76-8b23-11ef-bdd6-00ff248ba4a4,2,0.25,0.15,0.19,0,0.15,1.08,0.53,0.22,0.24,86.0%,56.7%,74.08,2.94,0.28,21.7%
6a928dd1-8b23-11ef-bdd6-00ff248ba4a4,1,0.41,0.45,0.39,0.14,0.34,2.43,0.92,0.28,0.26,72.30%,38.20%,52.51,5.28,1.06,33.80%
6a928dd1-8b23-11ef-bdd6-00ff248ba4a4,2,0.28,0.29,0.33,0.03,0.27,2.18,1.01,0.25,0.17,73.7%,54.9%,44.59,4.06,1.08,35.4%
6a928f57-8b23-11ef-bdd6-00ff248ba4a4,1,0.48,0.72,0.68,0,0.69,4.75,2.02,0.35,0.2,71.60%,42.90%,36.86,8.97,1.5,38.20%
6a928f57-8b23-11ef-bdd6-00ff248ba4a4,2,0.48,0.61,0.64,0,0.61,4.45,1.96,0.16,0.15,67.1%,48.6%,36.6,8.32,1.91,41.4%
6a9290f5-8b23-11ef-bdd6-00ff248ba4a4,1,0.37,0.44,0.5,0.07,0.39,3.32,1.35,0.3,0.21,87.90%,47.60%,55.28,5.28,0.17,17.20%
6a9290f5-8b23-11ef-bdd6-00ff248ba4a4,2,0.56,0.43,0.48,0.06,0.38,2.91,1.36,0,0.1,82.7%,60.0%,44.66,6.01,0.5,25.8%
6a92927c-8b23-11ef-bdd6-00ff248ba4a4,2,0.24,0.26,0.33,0.03,0.19,1.68,0.83,0.09,0.06,62.8%,44.6%,26.97,3.67,0.55,27.3%
6a929457-8b23-11ef-bdd6-00ff248ba4a4,2,0.23,0.24,0.29,0,0.24,2.44,1.12,0.23,0.21,78.6%,62.4%,59.44,4.79,0.99,44.1%
6a9295f5-8b23-11ef-bdd6-00ff248ba4a4,2,0.25,0.13,0.14,0,0.13,1.66,0.54,0.11,0.2,76.4%,51.0%,54.01,2.55,0.5,43.8%
6a92977b-8b23-11ef-bdd6-00ff248ba4a4,1,0.44,0.49,0.35,0,0.49,3.61,1.31,0.27,0.15,79.30%,64.60%,49.76,6.3,1.75,53.30%
6a92977b-8b23-11ef-bdd6-00ff248ba4a4,2,0.43,0.38,0.38,0,0.38,2.4,0.8,0.12,0.12,78.4%,63.9%,41.16,5.04,1.6,52.0%
6a929904-8b23-11ef-bdd6-00ff248ba4a4,2,0.21,0.14,0.18,0,0.14,1.2,0.42,0.21,0.12,86.5%,61.5%,59.32,3.33,1.11,55.2%
6a929a8d-8b23-11ef-bdd6-00ff248ba4a4,2,0.23,0.16,0.17,0,0.16,1.23,0.58,0.03,0.08,79.4%,65.1%,48.9,2.26,1.68,59.8%
6a929c17-8b23-11ef-bdd6-00ff248ba4a4,2,0.27,0.31,0.28,0,0.31,2.02,0.82,0.19,0.19,83.3%,51.8%,55.24,7.66,0.7,48.6%
6a929d97-8b23-11ef-bdd6-00ff248ba4a4,1,0.75,0.62,0.69,0.31,0.38,3.74,1.58,0.38,0.3,83.30%,53.10%,64.93,4.8,0.03,20.00%
6a929f1e-8b23-11ef-bdd6-00ff248ba4a4,1,0.51,0.53,0.44,0.05,0.47,2.95,1.03,0.08,0.05,73.70%,39.40%,33.07,6.46,2.65,41.90%
6a92a0a9-8b23-11ef-bdd6-00ff248ba4a4,1,0.63,0.43,0.53,0.08,0.37,1.81,1.14,0.2,0.05,73.80%,41.00%,33.31,4.22,1.97,42.40%
6a92a232-8b23-11ef-bdd6-00ff248ba4a4,1,0.45,0.6,0.51,0,0.6,2.57,1.32,0.16,0.09,78.00%,59.30%,36.65,5.39,1.12,35.70%
6a92a3d6-8b23-11ef-bdd6-00ff248ba4a4,1,0.44,0.35,0.39,0.04,0.32,2.68,1.39,0.26,0.11,81.60%,51.20%,50.52,4.7,0.59,25.40%
6a92a525-8b23-11ef-bdd6-00ff248ba4a4,1,0.43,0.38,0.33,0,0.38,2.4,0.93,0.11,0.07,73.20%,46.50%,30,4.59,1.36,43.70%
6a92a5b5-8b23-11ef-bdd6-00ff248ba4a4,1,0.51,0.33,0.29,0.04,0.29,1.91,0.76,0.13,0.12,77.70%,54.50%,37.29,5,0.3,13.70%
6a92a73e-8b23-11ef-bdd6-00ff248ba4a4,1,0.34,0.32,0.28,0.03,0.29,2.52,0.96,0.31,0.17,81.80%,48.60%,48.85,5.28,0.28,33.30%
6a92a8bd-8b23-11ef-bdd6-00ff248ba4a4,1,0.35,0.36,0.43,0.16,0.24,2.23,0.97,0.13,0.05,66.80%,60.80%,37.45,4.52,4.21,43.80%
6a92aa53-8b23-11ef-bdd6-00ff248ba4a4,1,0.7,0.39,0.46,0.07,0.33,4.02,1.48,0.42,0.35,83.10%,54.80%,75.97,5.92,0.49,31.80%
6a92abe5-8b23-11ef-bdd6-00ff248ba4a4,1,0.43,0.27,0.27,0,0.27,2.3,0.78,0.39,0.32,78.20%,53.30%,50.34,6.08,0.65,38.50%
6a92ad68-8b23-11ef-bdd6-00ff248ba4a4,1,0.41,0.32,0.39,0,0.32,1.58,0.87,0.08,0.04,77.00%,50.00%,28.42,4.32,1.04,27.50%
6a92aefc-8b23-11ef-bdd6-00ff248ba4a4,1,0.63,0.43,0.55,0,0.43,1.97,0.89,0,0.03,72.60%,28.10%,33.51,5.52,2.73,48.30%
6a92b083-8b23-11ef-bdd6-00ff248ba4a4,1,0.27,0.21,0.28,0.12,0.11,1.44,0.51,0.15,0.16,89.40%,60.00%,73.63,1.23,0.75,56.80%
6a92b1f3-8b23-11ef-bdd6-00ff248ba4a4,1,0.4,0.53,0.46,0.18,0.35,3.3,1.15,0.13,0.21,82.70%,48.90%,59.3,8.72,1.81,64.10%
6a92b354-8b23-11ef-bdd6-00ff248ba4a4,1,0.51,0.49,0.49,0,0.49,4.11,1.52,0.06,0.05,62.10%,27.80%,30.04,7.1,4.23,40.50%
6a92b68c-8b23-11ef-bdd6-00ff248ba4a4,1,0.27,0.4,0.28,0,0.4,3.2,1.09,0.17,0.16,85.30%,54.00%,55.1,7.96,0.92,35.10%
6a92b757-8b23-11ef-bdd6-00ff248ba4a4,1,0.26,0.15,0.21,0,0.15,1.86,0.78,0.1,0.22,81.90%,45.00%,57.95,8.14,0.23,31.80%
